stop,pagerank
Krishnarajendra Market,0.12826904786833174
Kempegowda Bus Station,0.10318116175384405
Shivajinagar Bus Station,0.04145464237838806
Kadugodi,0.0078940393368821
Banashankari Bus Station,0.005907539910181208
Kengeri TTMC,0.005561074037251159
Yelahanka,0.005363160606563781
BANASHANKARI TTMC,0.005359823341303347
ITPL,0.005078433621187226
Electronic City Wipro Gate,0.004806160027673609
Central Silk Board,0.004691983717673389
Hosakote Bus Stand,0.00461764110733112
Nelamangala,0.00426664317447034
Hebbala,0.0040395283682863135
Manyatha Embasy Business Park,0.003940589443974438
Vidyaranyapura,0.003725089701456957
Attibele,0.0035679682681360072
Jayanagara 9th Block,0.003477780637772896
KR Puram,0.003228721370435732
Yeshwanthpur TTMC,0.0031189584250904505
Yelahanka Satelite Town 5th Phase,0.003075620278721014
Peenya 2nd stage,0.0030347970327415674
Vidhana Soudha,0.0029798928984107425
Srinagara,0.0027817020620864814
Adithi School,0.002725697036537071
Chandapura,0.0027068487905494206
Bagmane Teck Park,0.0026928771153655324
Koramangala,0.002644454521930822
Jalahalli Cross,0.0026293956043079427
Electronic City,0.0024887541535245643
Hebbala Bridge,0.0024416468391047566
Kamalanagar BEML layout,0.0023535553683608967
Kaval Byrasandra,0.002343808075306129
Vijayanagara TTMC,0.002321529108147419
Bidadi,0.0023003499633013477
Sarjapura Bus Stand,0.0022563311707979494
Vinayakanagara Cross D-43,0.0021921389225999285
JFWTC,0.0021193960508283463
Jeevan Bhimanagara Bus stand,0.00206871757437041
MCTC Bus Stand,0.00204648588310463
Outer Ring Road Company Association,0.0020386529290662755
Jayanagara Bus Stand,0.0020282836324234644
Shanthinagar TTMC,0.0019770780220718033
Uttarahalli,0.0019040187068665706
Bannerghatta National Park,0.0018642374176694911
BEML Layout 5th Stage,0.0018616689565182213
Ramakrishna Hegde Nagara,0.0018483347168500434
HAL Main Gate,0.0018100982104224594
Yeshwanthpura TTMC,0.0018043711498199131
Depot-13-BS,0.0017971458530710363
Nandhini Layout Bus Station,0.0017461000093931369
Hampinagara RPC Layout,0.001742226592105013
Chandra Layout,0.0017231998581320497
Domlur TTMC Bus Stand,0.0016987634507686742
Kempegowda International Airport,0.00169080999171478
Marathahalli Bridge,0.0016684844592195775
Depot 10,0.0016633409508371656
Sulthan Palya,0.0016631899568528205
BTM Layout,0.0016528365431258312
JPNagara 6th Phase,0.0016507766043921534
Maratahalli Bridge,0.0016473050900950531
Devanahalli,0.001630571986455491
BMT14,0.0016223491703599364
Boopa Sandra,0.0015889806900984415
Anekal,0.0015859291601674212
ISRO Layout,0.0015761480026365543
Yeshwanthpura,0.0015504380676625996
Vijayanagara,0.001550023048363101
Depot 30,0.0015406402543388566
Chowdeshwari Bus Stand JP Park,0.0015394304409529576
Infosys,0.001523257778604948
Chennamma kere Achukattu,0.0015120439199153102
K R Puram,0.0014758125616406758
Depot 11,0.0014508051426043139
JP Nagara 3rd Phase,0.0014223117148916406
HAL/LCA,0.001421817547695102
