agency_id,route_id,route_long_name,route_short_name,route_type,origin,destination,name_length,is_circular,route_type_label,zone
BMTC,327H,Krishnarajendra Market - Kamanahalli,BR1645,3,Krishnarajendra Market,Kamanahalli,36,0,Ordinary Variant,Central
BMTC,327K,Kempegowda Bus Station - Sarjapura Bus Stand,BR1646,3,Kempegowda Bus Station,Sarjapura Bus Stand,44,0,Ordinary Variant,Central
BMTC,295A,Kempegowda Bus Station - Dodda Gubbi,BR1284,3,Kempegowda Bus Station,Dodda Gubbi,36,0,Ordinary Variant,Central
BMTC,295B,Kempegowda Bus Station - Anagalipura,BR1285,3,Kempegowda Bus Station,Anagalipura,36,0,Ordinary Variant,Central
BMTC,295C,Shivajinagar Bus Station - Dodda Gubbi,BR1286,3,Shivajinagar Bus Station,Dodda Gubbi,38,0,Ordinary Variant,Central
BMTC,295D,Shivajinagar Bus Station - Yarappana Bande,BR1287,3,Shivajinagar Bus Station,Yarappana Bande,42,0,Ordinary Variant,Central
BMTC,295E,Kempegowda Bus Station - Bande Bommasandra,BR1288,3,Kempegowda Bus Station,Bande Bommasandra,42,0,Ordinary Variant,Central
BMTC,52E,Raghavendra Colony TR Mill - Yeshwanthpura Railway Station,BR2403,3,Raghavendra Colony TR Mill,Yeshwanthpura Railway Station,58,0,Ordinary Variant,West
BMTC,KGR-CKB,Kengeri TTMC - Chikkabanavara,BR3580,3,Kengeri TTMC,Chikkabanavara,29,0,Special,South
BMTC,250BA,Kempegowda Bus Station - Sheshadri Nagara,BR773,3,Kempegowda Bus Station,Sheshadri Nagara,41,0,Special,Central
BMTC,327A,Kempegowda Bus Station - Dommasandra,BR1638,3,Kempegowda Bus Station,Dommasandra,36,0,Ordinary Variant,Central
BMTC,327B,Krishnarajendra Market - Panathuru Dinne,BR1639,3,Krishnarajendra Market,Panathuru Dinne,40,0,Ordinary Variant,Central
BMTC,327C,Krishnarajendra Market - Attibele,BR1640,3,Krishnarajendra Market,Attibele,33,0,Ordinary Variant,Central
BMTC,327D,Kempegowda Bus Station - Gunjoor,BR1641,3,Kempegowda Bus Station,Gunjoor,32,0,Ordinary Variant,Central
BMTC,BMES-ULS,BM English School - Halasur,BR2694,3,BM English School,Halasur,27,0,Special,Other
BMTC,327E,Krishnarajendra Market - Gunjur Palya,BR1642,3,Krishnarajendra Market,Gunjur Palya,37,0,Ordinary Variant,Central
BMTC,327F,Krishnarajendra Market - Kodathi,BR1643,3,Krishnarajendra Market,Kodathi,32,0,Ordinary Variant,Central
BMTC,327G,Kempegowda Bus Station - Kuguru,BR1644,3,Kempegowda Bus Station,Kuguru,31,0,Ordinary Variant,Central
BMTC,UTH-NBC,Uttarahalli - Nagarabhavi Circle,BR4026,3,Uttarahalli,Nagarabhavi Circle,32,0,Special,Other
BMTC,294C,Shivajinagar Bus Station - Jyothi Nagara,BR1278,3,Shivajinagar Bus Station,Jyothi Nagara,40,0,Ordinary Variant,Central
BMTC,294D,Krishnarajendra Market - Anagalipura,BR1279,3,Krishnarajendra Market,Anagalipura,36,0,Ordinary Variant,Central
BMTC,BPH-MDL,Baiyappanahalli Satellite Bus Station - Madiwala MARKET,BR2785,3,Baiyappanahalli Satellite Bus Station,Madiwala MARKET,55,0,Special,Other
BMTC,294A,Krishnarajendra Market - Kada Sonappana Halli,BR1276,3,Krishnarajendra Market,Kada Sonappana Halli,45,0,Ordinary Variant,Central
BMTC,181A,Mahadeshwara Nagara 16th Main - Bhima Jyothi Nagara,BR168,3,Mahadeshwara Nagara 16th Main,Bhima Jyothi Nagara,51,0,Ordinary Variant,Other
BMTC,294B,Kempegowda Bus Station - Jyothi Nagara,BR1277,3,Kempegowda Bus Station,Jyothi Nagara,38,0,Ordinary Variant,Central
BMTC,328M,Kempegowda Bus Station - Maduranagar,BR1659,3,Kempegowda Bus Station,Maduranagar,36,0,Ordinary Variant,Central
BMTC,294H,Shivajinagar Bus Station - Rampura,BR1282,3,Shivajinagar Bus Station,Rampura,34,0,Ordinary Variant,Central
BMTC,500 J,Hebbal - Hebbala Bridge,BR2316,3,Hebbal,Hebbala Bridge,23,0,Ordinary Variant,North
BMTC,294E,Kempegowda Bus Station - Bileshivale,BR1280,3,Kempegowda Bus Station,Bileshivale,36,0,Ordinary Variant,Central
BMTC,294F,Kempegowda Bus Station - Rampura,BR1281,3,Kempegowda Bus Station,Rampura,32,0,Ordinary Variant,Central
BMTC,3,JPNagara 6th Phase - Girinagara Extention,BR1344,3,JPNagara 6th Phase,Girinagara Extention,41,0,Ordinary,Other
BMTC,250CA,Kempegowda Bus Station - Saiyadribalaga Layout,BR775,3,Kempegowda Bus Station,Saiyadribalaga Layout,46,0,Special,Central
BMTC,2,JPNagara 6th Phase - Kempegowda Bus Station,BR181,3,JPNagara 6th Phase,Kempegowda Bus Station,43,0,Ordinary,Central
BMTC,356JE,Electronic City Wipro Gate - Jalahalli cross,BR1920,3,Electronic City Wipro Gate,Jalahalli cross,44,0,Special,North
